new_comments,sentiment
testosterone laden woman display attribute male possess toxic masculinity prove he s female get itand I m one crazy hater,1
go ben go absolutely correct call spade spade ignore idiotic appeaseist politically correct brigade he s man nothing even surgery change consider surgery normal woman cock man dress argument truth simple truth prove wrong,1
ridiculous threaten someone like get away,1
jew right pedo call,0
transgend woman could get rid misogyny threaten bodily harm inappropriately touch man neck sorry transgender woman can not way obviously can not get rid misogyny blah blah blah keep dick women space,1
dig kaitlynbruce jenner bone year dna test dna leave actually test dna test would say bone adult human male archeologist dig might think undertaker play joke family bury man grave mark womans name future know would think give fact man woman grave,1
love place ben next proceed gaf lol,0
mental illness run rampant society,1
homosexual lesbian community come stand totally destroy progress make tran movement commandeer gay right movement,0
shapiro win brutality fataly trans man act like one jajajajjajjajjaja rich world,0
state fact liberal belief lose mind,1
oddly enough small guy room one big ball,0
damn shapiro person spine comply politically correct narrative respect,0
come transgender hard insist other know gender come join game problem get mad get dramatic raise cane nature done do accept move,1
courage everyone praise,0
can not smart threaten lmao,0
fuck woke society full retarded rot brain wake individual defend puberty bloker dei sht man ben shapiro know whould reach point,1
jenner man chuck prison forever threaten like,1
first black man justify slavery wirh reaction,1
dick thing say,1
can not believe year old shit go way far,1
secret transgender antisemitic,1
thing threaten arrest,1
male say ill hurt ladylike never use bloke do not give shit they re woman,1
man dress blonde woman threaten like real man pretend woman thing always pop men literally ajhahhahahah,1
woman earth could threaten send man home ambulance guy know get power way mike drop obvious danger woman woman sport,1
trans birey bu drzoya tek kelimeyle unu demi kapa eneni yoksa senin azna srm demi shapironun sesi titremi,1
ignorant decision go violent,1
twist guy get angry call guy threaten kill speaker guy defend say know would trigger logic sense respect quality debate go looking craphead seriously question evolution think devolve sub human level,1
lmao woman would never say,0
do not matter stand issue whether right left lean hate ben worship debate mess never okay grab someone neck threaten violence absolutely gross behaviour,1
friend male behavior way threaten ben real woman would behaved like,0
support man call woman disgrace lord jesus christ god father pitty soul could argue truth,0
course rude must threaten violence bodily harm man,1
tear despise bruce jenner also despise ben shapiro,1
fair apparently fair threaten someone health rude,1
ben shapiro smug weird little creep probably watch tran porn private lol,1
clown pretend female hilarious,0
would ve well tell ben you ll get free ride mortuary,0
ben one,0
come tran brave thing probably fair soldier disagree reckon,0
dude still look like dude person threaten shapiro dudeness come threat sir lady never act like dude,1
call anyone pronoun name call call name offend call pronoun offend,1
since ambulance take people home wrong blonde bimbo guy,1
cut go home ambulance moment know penis,1
exactly lady go act like,0
come transgender incredibly difficult come many people manage,1
inner man rage come lmao,0
friend trans first say biological woman mind call transwonen find wake movement way top gay trans one thing try force view ideal opinion people throat dead wrong along call someone someone agree say view homophobic transphobic,1
please explain sex offender allow work child anyone exhibit gender dysphoria allow influence development next generation drove population abnormal constitutional right transform remain normal lifestyle belief constitutional right remain america need super majority victory house seat republican senators president trump make constitutional amendment fix issue ngo fund root source need hold accountable start george soros,0
ben shapiro goat,0
joke back joke still,0
fact everyone room happy condone physical contact threat violence beyond,1
example tolerant people suffer delusion,1
ben shapiro,0
make shirt that s seam mildly inappropriate political discussion,1
threat manthreat thank prove point sir,1
shapiro bigot he s class dirtbag,1
ladylike omg man comes need,0
ambulance never bring home,1
funny travesty behave like man threaten shapiro hurt total man bully jajja,1
hey think testosterone show,1
would say highly doubt sir,1
girl boy boy girl mix muddle shake world except lola,1
accept one guy sellout scared opinion,1
definitely agree ben shapiro genetics fact care feeling want identify woman still fact man ludicrous especially appendage genetically biologically classify say sex ei testicle belong onto male,0
sweetestsounde threat ever hear,1
well actually go hospital ambulance go home threaten someone violence man thing say,1
lose respect dr draw put hand somebody else intimidate care think,0
bunch coward,1
curious guy since silence lamb,0
kathleen support trump respect whatever want call,0
state truth egregiously insult,1
cut throw waste sort ring make woman world completely lose hard time create strong man strong man create good time good time create weak man weak man create hard timesthat,1
chromosome define gender sorry comman knowladge,1
soft ass generation,1
dios destruy sodoma gomorra,1
shapiro male,1
award brave person room go ben shapiro,0
ben shapiro respect,0
stick oj documentary,1
xx female xy male identify delusional,1
anybody tell ben shapiro bring holocaust,0
lol fair bloke allow threaten hurt feeling,1
,1
ben person room speak fact truth other zero backbone,0
fact do not care feeling,0
hitler forgot shapiro unfortunately,1
zoey dude get shit together man,1
hear jack ass say train lol shut f,1
would say dare sweetheart ill treat like man ring bell,0
you ll go home ambulance be not hospital,1
careful mam sir come,0
man piss,1
transgender surgically alter become someone else,1
lady like,0
fact do not care feeling get recke libtard,0
say zoe floor,0
honest man amid sheep,0
let we speak truth sick absurd,1
resort violence typical male behavior,1
wish sooooo bad could switch consciousness maaan soon touch back neck rest go window man discussion,1
you all call abomination fucking dress,1
deserve,0
somehow guy get away physically threaten ben also notice guy repeatedly touch ben shoulder hand around back ben neck wtf,1
sick fuk video,1
count panel two need prostate exam,1
be not caitlyn bruce,1
testorone guy bruce hahhaha dumb,1
fact person put hand another person threaten send home ambulance beyond inappropriate,1
zoey become man second threaten shapiro,1
yeah use pronoun go home ambulance show lose argument matter wear can not control alpha male two gender male female two,1
ben you re one talk sense,0
communist violent people gender delusion violent communist struggle session people belong civil society can not live,1
tell man ia man truth insult,1
bully still bloke,1
care,0
ben shapiro probably bully high school revel wealth power ability punch high school matter heterosexual fact bully purpose might even well bully call f word homosexual epithet lack muscle short imagine bully also see transwoman must trigger exactly masculine look man prescription ben shapiro accept people different get testosterone replacement therapy take powerlifte gym,1
boy dress,0
be not polite pronoun mindset begin madness many we catch guard want kind want empathize other inclination exploit time push back probably year early honest,0
gender,1
see bunchs manipulator thank god generation take bs,0
stupid ben,1
lady like,0
can not accept pronoun,0
bro jew expect,1
call sir call sir male dumbass lmao,0
bahaha man shapiro,1
ladylike shim,0
shapiro transgender person one video bad video history,1
,1
brave tell hero die country transgender ever brave,0
ben want insist news reporter that s fantasy tran person identity,0
naciste hombre de genero ere hombre naciste mujer de genero ere mujer quieres ser un repubonicaredo como quieras llamarte en el futuro consideralo asi moleste para mi son hombre mujer punto,1
do not care anyone say that s freak man grow long hair wear makeup put dress like you re still man i d happily opposite ben treat guy like man I m far afraid angry man dress like woman shame,1
fact do not care feeling say guy wear funny little hat invisible friend tell,0
woman manpower love ben,0
dude ball play dress women clothing,1
ben ambulance call cab instead thank,0
two ginger male femaleall bthe dumb f,1
one go ambulance already go ambulance surgery sr,0
plot twist caitlin ambulance driver want seduce ben,1
uhh leave pc one member afraid say really think trap candy land,1
aggression primarily male trait,1
award dildoe,0
mean he s wrong he s dkhead he s wrong,1
transgender people literally crazyyyyyyyy,1
mainstreame delusion bar,1
ben shapiro say really something woman would say,0
ben awesome spot other leave physical threat,0
mr shapiro one whose delusional everyone else need live water shark dolphin,1
hate ben shapiro honest pinnacle whiny chan pseudointellectual tell shit like bbut chromosome pelvic bone slightly different never man entire damn life care care random anatomical shit nobodys go see go stop try happy insignificant transman way biologically female express gender identity male people talk like kind defective breeding machine like womans purpose bear child look pretty disgusting sure deny want fucking chromosome literally microscopic structure never see life thing want base entire personality around go ahead hate everyone around see miserable get blame wake leave woman want leave drink unattended around result obsessive radicalism,1
moment trans clown act like male lol,0
man argue like abusive man go figure,1
shapiro really get mogge lil benji,0
ja rule think,0
violently aggressive jester proved fact man something man would bar team lose,1
way grab neck threaten show still man biological woman would never dare,1
person middle woman time man dude end coward,1
,1
I m bit late bet none people include black guy specially black guy would let daughter share female change room female toilet,0
good put little keebler elf look zionazi place someone reach rightwinger respect,0
lady like man would response,0
want act like man trigger truth,0
god i m glad move past yes phase bullshit history seriously absolutely ridiculous zoe man look like uncle robert wig,1
shapiro deserve completely unnecessary say everyone right opinion still treat people respect shapiro do not want refer jenner maam that s fine say sir obvious dig,0
look like one tell truth ben,0
look fuke freakyes sirzoe,1
ben right,0
everybody go bash ben rude say ugly tran person get threaten serious physical violence nobody even talk fork panel fork medium,1
mom woman year leave couple month come back sayhey mom son transwoman equal woman like wear clothe makeup serious,0
shame,1
world come sit around discuss utter rubbish,1
ben shapiro need someone put belong garbage,1
hahahahahahahahahahahahahahaa,1
ft zoey lucky be not audience,0
freak,1
twice three time bloke,1
female dog become male dog nite nite discussion need pelvic bone tell dna convince female pelvis carry child male pelvis can not go find unicorn,0
dem man shit crazy,1
slay,1
prove man grab neck threaten,1
well say mr shapiro,0
even year still get male chromosome end story transvesite problem,1
type conversation get become civilized word like disrespectful hey fact disrespectful use term try hide something factual wrong bruce jenner call whatever heshe want make surgery change fact still believe pendulum start swing way point brother whole lot weep gnash tooth,1
funny stop pretend woman want threaten someone,1
chick z get chin like bad guy get jaw break tango cash,1
happen trans puberty testosterone,1
good ben,0
big tough tran man man non less panel make fool want fool along one thinking person whole lot,1
sir,1
default reset activate,1
omg trans som ball,1
sick transgender expect special right choose live lifestyle somebody bear black hispanic greatgrandparent white never expect privilege work hard anything get make university texas grade hard work last name everett hernandez,1
would call b oppose sir well think call sir respectful saying go home ambulance,0
come man zoey,1
response shim would got ball friend,0
sound like threaten man right talk you ll go home ambulance,0
zoey man play dress,1
chromosom ar like diffrent ko ind least five type dna,0
black dude clown,1
could wad throw across room,1
I m transman catch soooo offguard would anyone say make tran people look bad apologize person behavior,1
iconic afffffffff,0
woman big ball mango,0
ben shapiro firm chromosome chromosome hilarious bet never hear intersex,0
look view trans republican speak man woman sport maybe cut slack need help get,0
that s man irregardless want call do not see woman see man see big man do not see woman I m go hold person woman do not think woman,1
shanon man maybe consider transition,0
madam penis,0
well ben big guy,0
person male care identify genetically man delusional need help live life want force other identify woman man period,0
probably would respond misgendere good think anyone talk ben like face discussiondebate set good way catch offguard show take ben shit morally okay threaten people really part ben platform call eradication tran people would call threaten respond kind,0
good,0
draft bill pass man yrs old people identify male birth enter draft government speak gender regardless feeling bear penis enter draft service regardless pronoun bear penis serve call end discussion,1
ben base rest coward,1
ben shapiro verbally assault tran person call angry response inappropriate classic narcissistic abuse,1
bruce put hand threaten like outcome would good,0
cut go home n ambulance ben man right,0
man want woman need weiner cut,1
retard complain violet would first beat wife kid something consider wrong something threaten less call hypocrisy,1
wake simp pathetic time remember much hate ben come back video,1
ben shapiro know even though fact care feeling fist,0
queen shit,1
dsmnot educate genetic xx xy dipshit,1
white people like,0
say courageous,0
reason get away threaten repeatedly insult someone intentionally know exactly you re be not appropriate debate should not handle like she s vulture living he s scumbag really great friend suck also feel free yell comment I m go answer do not time bicker people hate other base make construct,1
fucker put hand female male would not time ambulance right touch someone have not give ok especially argument whilst make threat,1
feel inside irrelevant question biological sex well say technically change gender can not really go law nature bear like skyrim get create character start life ginger orange hair change hair colour dye want hair always grow back natural colour respectable person hurt anyone feeling judge person today world put shit face pride monthwtf need month straight month even trans flaga flag definition google symbol emblem country institution get acknowledgement gay lesbian trans long ago illegal frown upon open today great love go overboard get ridiculous,1
dude need stuff locker,1
always classic come back,0
bro wear tiny hat talk fact care feel lmao,0
come pip squeak beanie,1
be not ladylike,0
ben shapiro closet homosexual want get find picture year ago internet bed transgender woman,0
nobody care feel fact fact even feel rude,1
pfft one threaten ben shapiro sudden get ball,1
lol try understand math teacher,0
brave woman man pretend woman,0
respect pronoun incredibly easy intentionally disrespect someone trying cause harm,1
man frock sad dreadful,1
people lose mind man always man even get cut,1
man jenner go jail hit someone car,0
ben shapiro argument especially moment ask dudedressedlikeawoman genetics sir hahahahahaha love ben shapiro,0
look I m train equal want keep job show lefty change tomorrow laugh along speak fact science,0
zoe get jockstrap twist lol,0
think one lose lot respect threaten ben think know sore spot mouth claim word tell another story,1
dude end completely backward zoey egregiously insult would sit allow zoey gaslight nonsense either,1
black guy want save career go back homie like weird fy morning,0
guy tit te,1
black guy embarrassment,1
funniest clip I ve see swear,1
do not dude dress threaten send ben shapiro away ambulance one even remark,1
ben weenie,0
crunch go cry vagina hurt worldly authority could right really man pick fight yet much cry vagina one right can not let guy like walk especially something go exploit abuse attack long let make think kick crap front everyone sort person trying pass weak vulnerable enough treat however wants treat right make clearly evidence can not whatever want without get think happen back people act like woman would could would reason really unlady like woman defend attacker exactly guy like ben shapiro attack everyone like world life mind v body soul whole lot kind people hess somehow another physically prevent kind guy really shock would wind would inevitably reasonable response even really simply tell backing mean simple simply place tell mean think going cry vagina authority like make worth make well example try nice guess would much well display reality really happen mopped floor reality someone attack street without consequence understand ready mean allow space lie cast illusion everybody really go can not attack anyone even kind way simply go accept really mean nobody really care get little trouble cop feel really protect go cry vagina hurt bad like might well make worth trouble hey everybody see cry like vagina hurt anyway guess situation like woan military train kill ben god know many way also little foot inch tall woman name nancy meet black belt could throw guy twice size around like ragdoll simply reasonable reverence mean can not go around try fck whoever want however want even rich conservative political even supposedly conservative religious like ben shapiro mean people going accept contractproposal going expect annulment since never agree fckery real fckery agreement mean can not try fck however hey even national global scale conservative misogynist sex crime cover scandal clergy apparently learn one well say many illusion unagreed fckery really go mean lie even every kind way even point illusion say non unagreed fckery people fckery people unagreed fckery people non fckery peopleespecially mention conservative religion politic industry especially fill brim criminally minded sociopath psychopath medium highly likely unagreed felony crime fciery even business industry tell get everyone else private personal sensitive business fckery simply agree clearly implacable truly civilized society medium try point government otherwise gun everyone head genital force way one officially vote appoint approve fckery medium presume authority power fckery people without permission really validly agree proposalcontract take upon assume fckery relationship insist people one give say authority power mean government authority religious one b kind presume opinion influence lead never ask even anyone permission okay everybody people say lot unagreed unapproved fckery go least certainly officially,0
world need purify fire,1
shapiro troll unique idea spout sound bite really fast do not listen do not engage goodfaith debate generally worthless discourse let collectively ignore,1
find funny ben small physical stature always threaten etc everytime threaten intimidate smart educate bring fact shut shut everyone almost everytime ben shapiro gangster way love watch ben put people place,0
ben honest,0
ben insufferable transphobic nerd clearly know actually conversation dump transphobic lie cook npc community whenever conversation reason people actually listen point frustration omfg,1
cut know go ambulance home thad line helerius watch say boy,1
watch zoey disturb threatening man woman hope never see woman space,1
ben shapiro weasel he s still sane person room,0
entire squad cowardly gang small man threaten large man speak nothing truth,1
ah zoey remind merry old day english football ground home fan would welcome away fan cheery chant go home fuing ambulance,0
fck around find,0
queen,1
god shapiro fraud immediately lose bravado grab,1
ben shapiro suck dude purposefully obtuse draw kind reaction could say that s inappropriate political discussion,1
surprise call nazi,0
fact feeling unless mine ben shapiro,0
grandparent storm normandy beach get roll grave listen us bicker nonsense,1
hahaha I ve shoot stabbedby dude find man little late,0
physically threaten man frock must odd mixture entertain frightening,1
hear threaten violence someone okay neither purposefully go way insult someone piss ben loves sit say thing piss people expect never backlash person disrespect would say towards person go disrespect someone belief go get energy right back regardless topic,1
can not diagnose something can not see would mean gene determine trans gay straight genetic biological mental health issue would treatable medication mutilate children bodys prevent go puberty hormone treatment zero scientific evidence treatment something can not diagnose medically prove bear wrong body could prove someone would discover decade ago,1
I ve shoot stabbedbee transgender brave thing ffs lol thing need help,0
i d love watch turn soup,0
crazy transgender clown,1
oncology nurse man come treatment room testicle cancer identify female,1
still wonder adrenochrome ben get run age body mind incredible,0
good job stand woman mean weak man mean hiding emotion let woman defend man cry,1
lucky ben shapiro mma fighter big fighter hell would turn promoun waswere real quick,1
would fight fuck man lady,1
smh black dudewe claim,1
put oreo show,1
look comment section full ignorance,1
great moment tv history,0
facebookguess tha real woman,0
zoey idiot lol,1
pathetic,1
cucke fruit embarrassment black man get dude show,1
never think would see day call male sir would interpret egregiously insult strange time live,1
west do,1
listen sit blatantly disrespectful someone face perfectly fine moment person disrespect enough problem lmaoooo get way play victim,1
get love see lil bennie squirm,0
zoey base justified say amount horrible shit say regularly would expect people spontaneously punch upon see public,1
fuss oh excuse misunderstand talk gender identity consider personnal care identify whatever want use word man woman biological meaning use pronoun name refer instead gender identity clear resume conversation sir,1
wonder male put take away body body anything order look like female wonder go gynecologist checkup specialist go,0
crazy comment think spine mean deliberately try provoke reaction someone audience already bias,1
yeah you re woman that s use male physical strength testosterone energy scare another man get outta woman crazy man,1
polite honestly even say he s call whatever fuck want call call hypocrisy plain stupidity would not say question one opinion inherently evil rude can not really say anymore take quite literally collectively people iq rd grader see scared black dude basically say would not touch conversation foot pole literally do not like bruce hell real problem ill play delusion man do not like absolutely wild,1
trans woman use genetic justify woman xy chromosome make biological man,0
pathetic presenter ball male male female female,1
moment get confuse two hate course shapiro,1
judgment god long await commonly reject absolutely certain terribly severe,1
trannies yoyou never never woman rmn thr vgnlt nd rt mlnt wnt mk fml wll nvr bare hldrn hr n mg rng tht wll turn not wmn yoyoure yout worthless mentally ill ubhumn faggot twist dryougs freak syourgerie degenerate mockery natyoure perfection validation yoyou get twoface halfhearte behind yoyour back hyouman mock yoyou oyour parent disgyouste ashamed yoyou yoyour friend layough yoyour ghoyoulish appearance behind closed door anyone fyoucke brain clearly see yoyoure fyoucke faggot larpe woman yoyour bone stryouctyoure dead giveaway vn trnn wh lk unnn nd unnturl vn hld man utterly repyoulse yoyou even f yoyou manage get dryounk gyouy home yoyou tyourn tail second get whiff yoyour filthy diseaseinfected n gng axe woyound yoyou retarded trannie call vagina yoyou never happy yoyou reach oyout fake smile every single morning tell yoyourself go okay byout deep nd yoyou feel drn creep like weed ready cryoush younder younbearable weight yoyour broad shoyoulder yoyour deep voice yoyour thinning hair yoyour lack cyourve stare back yoyou mirror every day yoyour delyousion become difficyoult maintain eventyoually myouch bare oyou byouy rope tie noose pyout aroyound yoyour neck plyounge cold abyss yoyour parent find yoyou relieve long live younbearable shame nd disappointment,1
