author,text,classification
@emreeren13,"That's the problem with this people, they always get so emotional bcs they didn't solve their inner conflict yet and it's impossible to talk to them. I already had talks with trans people who did solve their conflict and the talk was very different. Understanding and informative.
Genderdysphoria is no joke, very complex to understand due to biology and psychology going hand in hand... sadly it's not going to be understood by the crowd very soon.",0.0
@paulsmith9786,IT'S MA'AM!,0.0
@user-tz6rk4dy5s,"What a joke, these people are a joke! Ben is a legend!",1.0
@levneyman6183,I am transphobic. I find them to be unnatural beings. No Iâ€™m not a trump supporter.,1.0
@robertdemaree2165,I would took care of business right then,0.0
@RobertB-bm5cn,"Mr. Shapiro I am sorry to see threatened during an intectial discussion you argument is correct there is no way to turn a man into a woman. A disguise or hormones
 don't change the persons sex. I wish these people would be told the truth about that fact.",0.0
@S373N1,2:04 male hormones incoming,1.0
@user-jg6vi4cd7v,BEN is RIGHT ! so RIGHT!!!!!,0.0
@YTonYahoo,I remember when this was new,0.0
@æµ·é˜”å¤©ç©º-SO,I have never seen a woman threatening a man in this manner.  Jennifer just proved she is actually a DUDEðŸ˜‚ðŸ˜‚,1.0
@mryugo7829,"0:25 when i grew up to bravest thing you can do is to protect your own family and country....suck people nowadays that pushing these sick gay agendas on people and our
kids in school....ban this sick shit ! media shoukld not give them any platform ! except for them that wlays pushing this out cause they got paid like on zionist movement and so on",1.0
@naijafoodchallenge,"Americans are so foolish...ðŸ˜‚
So, a full grown man wakes up in the morning, wearing a lady's gown and now prefers to be called a woman...ðŸ˜‚ 
In addition to that he can now use women's bathroom, play women's sports, and be throne into women's prison ðŸ˜‚ðŸ¤£ðŸ¤£
And everyone in the room agrees with him except just one person who everyone want kicked out so it can be all FOOLISH people.
And the woman/man threatens people ðŸ¤£ðŸ˜‚",1.0
@davidjackson2690,"Shapiro is a little dude, the dude in the dress woulda got his ass kicked had I been on the stage.",1.0
@petradoots584,BEN is a repressed homosexual....why he talk sooooo fast is a mental mysteryðŸ˜ŠðŸ˜ŠðŸ˜Šw2ðŸ˜Š,1.0
@MountainEagle77,These liberals are all mental cases. 30 years ago this â€œmanâ€ would have been put in a mental hospital and heavily injected.,1.0
@EddieGillies-lj8dp,Sicko,1.0
@strxyt6,THEY DON'T LIKE FACTS OR TRUTH.....THEY ARE DELUSIONAL,1.0
@johannapalmer9537,I bet Ben feels like banging his head against a wall,1.0
@thattv5890,this is getting ridiculous,0.0
@cliftonsr,"I am 64 years old and I remember when I was a kid and when someone imagined they were something else than what they really are like an animal or they thought they 
were someone else other than themselves they were put in a mental institution. And now itâ€™s like they all escaped from the mental institutions, I guess there are no more
 mental institutions doing business anymore.",1.0
@denissavgir2881,"The truth and potential solution to the gender debate:

The gender debate is pretty pointless because itâ€™s really just about vocabulary. ""Gender"", first used in the 1400s, originally referred to grammatical categories, like in languages where nouns are male, female, or neuter (e.g., in Russian, tables are male, cars are female, windows are neuter). It wasnâ€™t until the 1950s that ""gender"" started being used for humans, but it was never meant to describe biological sex. It referred to roles, behaviors, and identities, separate from biology. This isn't a new concept though, as even some ancient cultures had more than 2 genders, each with their own gender roles. Over time, people started confusing gender and sex, thinking theyâ€™re the same thing, but theyâ€™re not.

The confusion comes from namespace collision: using terms like ""male"" and ""female"" for both, which causes people to argue that a trans woman is ""really"" a man. But thatâ€™s missing the pointâ€”gender is how a person feels, looks, and identifies, while sex is biological. So, saying a trans woman isnâ€™t ""real"" because of her biological sex mixes up the definitions of sex and gender. Both terms have existed separately from the start. Whether or not being transgender is a mental illness is irrelevant.

I propose that the namespaces are separated so that gender pronouns are separated from sex pronouns. Since the biological namespace used the words ""male"" and ""female"" first, it should get to keep the terms, and the gender namespace needs its own words. One way to do it is suffices.

Potential suffices to use: -ish, -like, -esque, -oid, -leaning, -aligned, -presenting

Examples: maleish, female-like, male-esque, femaleoid, male-leaning, female-aligned, male-presenting. Or perhaps even a brand new suffix purpose-built for gender.",0.0
@gunchuikov9845,Man this guy is a one man army right here,0.0
@isabelee7262,"red blood cells have no chromosomes also like people who have XX chromosomes and get pregnant with someone with XY, the pregnant person can have cells with Y chromosomes going
 unexpressed. Ben Shapiro doesnâ€™t understand genetics or biological sex. he has a poli sci and a law degree. neither of those are biology",0.0
@NateWilliams-dn7nf,Ben Shapiro is nut,1.0
@black-cross,Shapiro is when you speak in real life the same you do in the comments ðŸ’€,0.0
@landondempster460,"Lmao all yâ€™all worried abt him if he wanna be slick he can be dealt with swiftly and slickly and he can stutter and act all flustered but he started the bs u can disagree and still remain
 disrespectful not immediately actuallyâ˜ðŸ¼ðŸ¤“ and proceed to be rude as shit yâ€™all know wtf he was getting at if he got the balls to dish he he better be able to lick it tf up too",1.0
@techvaper,"este es el problema de los maricones que quieren que todos seamos mariconera, se mariconera pero deja a los demÃ¡s en paz cada cual que haga con su culo un tambor 
The interaction of the shock absorbers can reduce the physical discomfort of riding, allowing you to ride comfortably in the city. ã€ Foldable & Convenient Designã€‘ DEEPOWER
 electric bike is designed to se lo de a tocar al que quiera",0.0
@agneshcheater,Bring Sean Strickland and then we will see who is going on an ambulance ðŸ˜‚ðŸ˜‚,1.0
@Casstielle-j2q,This is what it looks like when you go against a delusional herd.,1.0
@juliusvanadrianmosca8365,Going out as a transgender is the bravest thing you can do? Come one! Being brave and being shame less is different!,0.0
@powerpuff-v1w,Oh my! What male energy you are exhibiting SIR,0.0
@Greezly__1,Protect trans rights,0.0
@stephenstone6207,"Typical woke uneducated delusional behaviour yet again, and surprise surprise threatens violence when faced with the truth",1.0
@RebelliousDixon787,What Ben said is not insulting itâ€™s facts,0.0
@lindayhukutwana3861,See how a male she testerone comes out in an argument. What woman tells a man he will go home with an ambulance? Absurd! I would never do that! Im not that strong to challenge a male.,1.0
@himanshubasayal1802,Ben Shapiro â€œBig fanâ€ðŸ˜Š,0.0
@brayansolis2214,"Shapiro aura +1,000,000,000,000",0.0
@zooguy52,beni boi gets excited,0.0
@FarrierNoire,"â€œWhen the debate is lost, slander becomes the tool of the loser.â€

He actually threatened Ben Shapiro on camera and not one person had the courage to call him out on it. Disgusting.",0.0
@FarrierNoire,"â€œBeing transgender is about the bravest thing you can do!â€ 

Try and tell that to our soldiers; past, present and future. They themselves, and all of us who are eternally grateful for their sacrifice, vehemently disagree with that atrocious statement.",0.0
@dlock5794,I love me some Ben Shapiro lmao,0.0
@dominikedominike8568,I remember when we all hadnâ€™t lost our minds before the pandemic ðŸ˜‚,0.0
@Calvin_Elamparo,So spitting out the truth is delusional? Yeah right,0.0
@maxim-maksim786,"That was malely inappropriate,  I would say",0.0
@Mister_Don888,"A trans YouTuber tried making this look good when Ben Shapiro was being threatened. Honestly, while Ben was being disrespectful, but he didnâ€™t deserve to be threatened like that.",0.0
@hansonjustin7909,"Being a soldier is pretty brave, giving birth without epidural, thatâ€™s brave. When a child stands up for another child, thatâ€™s being bullied thatâ€™s brave putting on a dress and 
make up is not brave itâ€™s Hyper sexualizing something they should do in their fucking bedroom",1.0
@denialsuckshuh,"""Im not on that train, she want to be called she ill call her she"" abiding to what they want to hear to be in their favor. Coward.",1.0
@benjames5735,The testosterone never leaves you. ðŸ˜‚ðŸ˜‚,1.0
@BornokBasiyo,if somebody telling the truth.. that rude to them. stupid trans,1.0
@TheDudeAbidesYo,I like Ben. But I would have enjoyed seeing this play out because I guarantee you Ben would have been humiliated ðŸ˜‚,1.0
@GeorgiaMartin-ll9qg,"Itâ€™s incredible that nobody there called out the dude in the dress for putting his hands on, and threatening another guest! Shapiro should have sued!",0.0
@fshhh,The internet made people too comfortable talking shit and not getting punched in the face for it,1.0
@nikkocarter6604,Look at that man face the man hands the end is near,0.0
@nikkocarter6604,That is a male it's like we're living in the Twilight zone where do these people come from ðŸ˜‚,0.0
@XXX-pj3pv,Im with Ben.,0.0
@audriabriann1180,ðŸ˜­ðŸ˜­ðŸ˜­,0.0
@TheMrfoxguy,Poor ben he was ganged up on,0.0
@Ksjplays,This is so funny,0.0
@alphaturd6922,Get him angry and the man comes out lol,1.0
@GamingCDO,"""you'll go home in an ambulance"".. imagine that kind of attitude if that person joined a woman's sports or pageants",0.0
@davidmarks8318,Youre not a gurl mz thang,1.0
@RybergNikolai,â€œFacts donâ€™t care about your feelings.â€ Ben Shapiro.. This man is a legend,0.0
@John-i9j4n,"Hitler was the biggest hate monger in history, people like Shapiro want to bring back that doctrine of hate, and I don't like it, we are not all the same, except that and move on,",0.0
@iiwwms2023,"Says a grown man who should be husbanding, fathering and grandfathering brave and strong but instead he is wearing a dress! LOL",1.0
@Vincent-xk3sl,Ben Shapiro vs 5 women and 1 man. This was crazy.,1.0
@Saulo1406HM,That GUY threatening Ben Shapiro is very rude ðŸ˜¡ HE should be ashamed of HIMSELF ðŸ˜¡,0.0
@digitalvalidity9553,Mrs. Doubtfire back in the day,0.0
@dannyhernandez265,Ben Shapiro was the only person with a brain that day in that room.,0.0
@dannyhernandez265,Ben Shapiro was the only person with a brain that day in that room..,0.0
@GlamrockGabson,"i got scammed by the dude's voice at the start, thought it was the narrator or smth",0.0
@mrsmukk,Once they said the chromosomes and genetics don't matter their entire argument went out the window...now we're neck deep in the bullshitðŸ¤·ðŸ¿â€â™‚ï¸,1.0
@matthewhayman6527,Bruce is a man! The POS sitting next to Ben is a man also!,1.0
@alessioandreoli2145,How sad is this world if we have to admit that Shapiro is the only one with a brain in that room? Opinion based pronouns are what matters now? This is crazy and insane.,1.0
@oneoftheangels,OH SO BECAUSE THEY SEE HIM AS RUDE ITS OK FOR BEN TO BE THREATENED WITH PHYSICAL VIOLENCE??  IF A MAN HAD THREATENED A WOMEN LIKE THAT THERE WOULD BE UPROAR,0.0
@9kazcat,"What woman says ""carry on and you will be going home in a body bag "" to a man, and is twice the anotomical build to said man. These people ðŸ˜‚ðŸ˜‚",1.0
@matthewhayman6527,Bruce is a man! This man pretending a woman is a man.,1.0
@hcb2000,But to be fair but to be fair but to be fair but to be fair but to be fair. But to be fair you don't get the right to threaten someone because you got your feelings hurt.,0.0
@Judith-m6l,Absolutely disgusting,1.0
@mondaystonelyngdoh5803,He's one man army n he's destroying this stupid illusion people,1.0
@Cuzlisasaidso,"What PEOPLE don't understand regardless of whether he had a sex change or not he's still a man he still looks like a man come off of it people stop just stop it any of you sitting up there 
on that panel call yourself a Christian you know that God said it's an Abomination you know that God only made man and woman you know this so why are you going against God",0.0
@mollysass6468,Threatening violence like thatâ€¦ so ladylike!!,0.0
@ShizzleDogs,Bring him to Saudi Arabia,0.0
@Goose21995,"I always hate how they bring up people born with a genetic disease who, in most cases, go through with surgeries and medicine so they can feel like a normal person, for these
 trans people to coopt that rare condition and use it as an argument for thier dilusions.",0.0
@Goose21995,"Him being on womens of the year time award was prabably a huge dissapointment for any women that achieved something great that year. I just feel really bad for all the athletes that,
 in certain sports such as boxing, they basically have no chance against these freaks. They are breaking records left amd right and weenies who have never picked up a ball in thier life 
are the ones making that call",1.0
@its_judge.b,"""Chromosomes don't necessarily mean you're male or female"" What the hell do you mean?ðŸ’€ðŸ’€ðŸ’€",0.0
@risaacpadilla3889,"It's always disgusting to witness failed pretensions to put superior intellects against the corner. Perhaps, this trans-clown and his acolytes have already taken a ride in 
ambulances due to self-induced threats of neurological nature. Ben Shapiro shouldn't waste his time with people spending time in redefining what else butts are good for.",1.0
@seabass523,He made that threat and get away with it?,0.0
@michaelo1492,Dr Drew dropped the ball on this one. If you would talk to him today (2024) he would be brave enough to admit he was wrong.,0.0
@lauriivey7801,"That's not the way a woman would react ... No matter what been done to that body, it knows its own genetics and responds accordingly.",0.0
@lamarcarter6699,"It is sick and against our lord and savior, it has nothing to do with being brave !",0.0
@PapaPoohBear962,"To be given an honor for sin, that's just pure evil.  It is not being courageous, it is being sinful, perverted, and sexually immoral.  Instead of celebrating his sin, he should be ashamed. 
 But as the Bible says, their glory is in their shame.  Very sad.  I hope he repents.",1.0
@TheBoneVampire,"This guy in a dress open threatens him with violence, and those other dip-wads say to be fair â€œyou misgendered himâ€

No. Violence is never ever appropriate in a scenario like this.",1.0
@hawkenfox,"A room full of delusional adults ... lol the only guy who is honest is a Jew .. what the heck is going on here.  They all stood up for a trans who just openly posted a threat to another 
person who is just stating his opinion , you know what this it?  America is a goner that's what it is , idiots are running rampant there lol.",1.0
@MichaelMcgee-nh9qt,An ambulance would take him to hospital not his home.,1.0
@MichaelMcgee-nh9qt,Zoeâ€™s a disgusting excuse of a human being.,1.0
@AishaHarris-l7e,When Ben Shapiro became top G,1.0
@ReeInvesting,for the love of TRUTH!!!!,0.0
@STATLECTRIC,That disgusting filthy man lady needs to be in prison,1.0
@ronaldreagan-ik6hz,men in dresses is just ridiculous,1.0
@Maria-do6ol,Nonsense! You're either a man or a woman! This guy doesn't like hearing truth! ðŸ‘Ž,0.0
@erikamarie537,"His anger toward Shapiro clearly reveals heâ€™s a straight up man pretending to be a woman. Iâ€™m sorry but as a lesbian that is a tomboy I simply learned to love my beautiful female body 
and accepted my sex and realized Iâ€™m better off being who and what I am than being someone else because I changed something about myself which will ultimately make me lose myself 
and regret it and become extremely depressed .. self love baby!!",0.0
@mariansimpson8510,Still showing how much a man he actually is Mr Jenner you have a prostate enough said,1.0
@kennethjensen730,Hahhahaha bruce got mad ðŸ¤£,0.0
@funeralrep,Freak!,1.0
@haosesnadia6783,"A biological man is a male.
I like the boldness in that guy.
That's a man right there.",0.0
@terintiaflavius3349,Threatening violence and putting your hands on their neck is masculine,1.0
@Mary-m9n,"What a male thing to do, to threatened someone that they will go home in an ambulance, Ben wouldn't stand a chance, no stopping those male hormones ðŸ˜…",1.0
@genetenz,That man put her huge ass bigfoot hand on Ben. Someone get a tranquilizer dart gun from the zoo,1.0
@johnforeman634,"Actually, ambulances never really take you home, only to emergency.",0.0
@johnforeman634,That linebacker jawline really helps define the overall feminine look.,1.0
@brianb6957,Sooooooo.......tough. Turned hisself into a chicky.,1.0
@denikcuf,how freaks act when they dont get their way,1.0
@Shannon-w5o,Brave? ðŸ˜‚ðŸ˜‚ðŸ˜‚ lol u ppl are freaking dillusional,1.0
@rainydaywoman5758,"If that he/she gets that upset over a discussion about being a freak, he has mental issues!

If you're a man and you insist on dressing like a woman and ppl make fun of you because they don't buy into your bullshit, you have the problem not the debator!",1.0
@BFF410,So calling a biological man as a man is â€œinsultingâ€? Lord have mercy on these idiots!!! Shapiro good for you for not joining their delusion.,1.0
@BrendaSmith-lt7dx,"If bruce still has a dick  bruce is still male, bruce used his MALENESS to threaten another person, and then wants to plead I'm a woman  i felt threatened. What a bunch of shit.",1.0
@gilbertyanez1663,"I'm not one these people who are on stage supporting this trans lies  to make themselfs look good I agree man is man just like women is women there XX  Xy . 
IF I WAS THERE I WOULD HAVE TOLD THIS delusional CaitlynJenner. If you want an ass whipping from a real man meet me outside I'm Gen. X we don't just talk we act on threats like that...",1.0
@DavidLopez-gz2jc,Its mam!!!!!ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0.0
,that person  go to jail  for  asalit,1.0
@aks19880,"America, as a foreigner, you are dying as a nation because of this lunacy!",1.0
@notprovided1131,"Regardless of your views, the fact that somebody is allowed to act like that on TV is shocking",0.0
@adammccahill1372,Black dude is on drugs,1.0
@pktrainerfadi1409,Iâ€™d pay top dollar to see Ben get his ass whopped by a man in a dress,1.0
@stuartlindsay2342,this man thing should have been charged for assault on ben,1.0
@edgarallanampig5200,If a person wants to be called a lawyert thats impersonation fraud.,1.0
@JackRoyal82,is that michael bolton?,0.0
@danielleschiazza6172,"Well, threatening people sometimes doesn't go the way u think it will. Fortunately for that person he tried the right one.",0.0
@simonacland9028,"""you cut that out now or you'll be going home in an ambulance""

Shapiro be clapping about Medicare advantage hahaha",0.0
@Anorch-oy9jk,Little boy was sweating,1.0
@kasonsparks1822,If i was ben i would say i am packing so sir if you put your hands on me again you are going in a box,0.0
@serafinijevon,"Ben the goat
Youâ€™re a man and will always be a man
Delusion at its finest",1.0
@fredsalmon3228,If you have a dick you ainâ€™t a chick.,1.0
@richardwannamaker,"Who cares, he is a guy not a woman. These idiots need to be put in their place.",1.0
@hazelthemcwitch,Zoey was showing her maleness with that physical threatâ€¦,1.0
@abutts02,"Zoey is the uneducated one, saying the ambulance would take Ben home. No it doesnâ€™t, it goes to the hospital.",1.0
@stephengabriel2960,I'm amazed Shapiro tolerated that weirdo touching him on the shoulder and the back of his neck. I would've told the perv to get his disgusting ball-ticklers off me immediately!,1.0
@edwardwilliams5970,"To me, thatâ€™s sad when you got grown men that wonâ€™t stand up when they see a man trying to act like a woman. And the facts are his DNA is made as a man.",1.0
@michaelfuchs6730,So you need to have courage to be a freak?,0.0
@Trevor_Austin,Thereâ€™s a D missing in that bloke Zoeyâ€™s surname.,0.0
@GifferBag1,And there you have it right there. The trans guy canâ€™t take it so threatens with extreme violenceâ€¦,0.0
@AlongCameSrPauline,"That man threatened Ben  "" YOU WILL GO HOME IN AN AMBULANCE"" ? did I hear that correct? 
Mr Zoey, the bravest thing in the world, you know what that is, accepting what you are, and you are a man, you look like one, because you are one. You cannot demand that we go against what our eyes see.",0.0
@okosbokos1491,This is mockery,1.0
@jsjsjsjsjssdhfhdjz2152,what are your genetics -ben shapiro,1.0
@francescoborrelli9307,Sick man  and  aggressive  was my hero when he called himself man and great sports man  but now just rubbish,1.0
@incelsmad,"erm, actually, I identify as a Doctor.",0.0
@LanaKennedy121,"So itâ€™s not ok to call someone sir but itâ€™s ok to physically squeeze someoneâ€™s neck and threaten to do great harm to them that they need an ambulance? Sick and twisted 
individuals. Ben was right the whole time. These people are delusional",1.0
@LanaKennedy121,What a pig,1.0
@15DurangoRT,"Well now, that's not very ""ladylike""!",0.0
@lethrneck4,"if ben did that to ""her"" the panel would have stood up, walked off and not returned until he left...but the thing did it...and all they said was ""well you deserved it"" hah",0.0
@yulianstarr,Polite to the pronouns is wild,0.0
@IDICEDOUT,Caitlyn jenner is not a hero,1.0
@reallll2778,Where can we find the full interview,0.0
@grizzkid795,Zoey proved he was a male when he threatened to send Ben home in an ambulance. Only men say that shit.,0.0
@JonCom3dy,"Why did they even invite Ben knowing his beliefs and then get upset when he expresses his beliefs lol isn't this supposed to be a safe space? No. 
Because ""Safe space"" is code for ""pro LGBTQ space""",0.0
@sandiego2380,"I don't like Ben because I find him too radical and aggressive  in his thinking, he doesn't come across as someone who wants to help these delusional people like Matt Walsh does,
 Ben sounds like he enjoys torturing and humiliating them because he thinks he's always right, most of the times he is right, but he is so full of himself and arrogant and  
no offense but his voice is so annoying.",1.0
@ColonelHess,"He threatened to attack Ben Shapiro and when he called him out on it the guy on the other side said basicly ""yea but you were rude"" as if that makes threats of violance are jusitfied xD",1.0
@matthewhayman6527,Bottom line? You are a man! I hate the woke culture! It's all a lie!,1.0
@JulsHorrorStories,"""Being brave is being yourself.""

Being brave is when you tell the freaking truth and stop lying ðŸ˜‚",0.0
@kimothefungenuis,I agree with Ben here,0.0
@jillsketchley517,Zoey a violent person before the hormones and surgery as well as after,1.0
@andrewdunlop5771,"Imagine for 1 second that BEN put his hand on Caitlinâ€™s shoulder, OH MY LORDY, he probably would have been charged",0.0
@kimberlybeam3441,"If it acts like a duck , looks like a duck and walks like a duck - itâ€™s a DUCK . Doesnâ€™t matter how much lipstick you put on you are a man and that interaction just confirmed it .",1.0
@user-bn4np2qz3t,Men are suddenly soo quick to â€œdefendâ€ women when it comes to trans people ðŸ™„,1.0
@richbaritone67,Dude's not a womam.,1.0
@jislenmoliva95,That trans really still looks like a man with a dress when he said to Ben he was going to send him in an ambulance it was a male who said that you could see the action thanks Ben for acting cool,1.0
@mikerichardson2177,A  man...in a dress,1.0
@emmanuelkassi5844,very lady like at the end,1.0
@puuhamato6294,The guy with mental health issues threatened Shapiro infront of everybody and no one did anything about it.. wow,0.0
@thomascurran312,That dude was outta line to Ben,1.0
@merec3627,all that makeup couldn't conceal his toxic masculinity,1.0
@Sleeper-Work,Looks like Woody Harrelson in Anger Management.,0.0
@mithridatesi9981,2:08 Shapiroâ€˜s mind: Why should I go home with an ambulance ?,0.0
@markymark9961,So the testosterone laden â€œwomanâ€ displays all the attributes of a male possessing toxic masculinity to prove heâ€™s a female.  Got itâ€¦â€¦.and Iâ€™m the one who is crazy and a hater.,1.0
@Vartan297,Ridiculous. You can threaten someone like that and get away with it?,1.0
@Avanger90,"The jew was right , this pedo should be call he !",1.0
@Mrdogedog,"If they dug up Kaitlyn/bruce Jenners bones in 300 years and dna tested them, if there was any dna left to actually test, the dna test would say they are the bones of an adult human male.

Now, the archeologists who dig them up might think the undertaker was playing a joke on the family by burying a man in a grave marked with a womans name, but im not from the future, so idk.

That's just what i would think, given the fact there is a man in a womans grave.",1.0
@SimaRuijie,Love how they placed Ben next to him and he proceeded not to gaf lol,0.0
@GeorgeanWilliams,Mental illness is running rampant in society.,0.0
@eammplus2009,Shapiro wins brutality fataly that trans is a man because he act like one jajajajjajjajjaja. If he is a she im the most rich in the world,1.0
@ranbo5150,State a fact and liberals and their beliefs lose their minds.,1.0
@estebanvillarreal9730,"Oddly enough, the smallest guy in the room is the one with the biggest balls.",0.0
@hunter_69_69,Damn... Shapiro is the only person with a spine to not comply to the politically correct narrative. Respect to that.,0.0
@billyb4790,How is it courage if everyone is praising you?,0.0
@mvpmontana8943,When they canâ€™t out smart you they threaten you lmao,0.0
@notarokim,"And in 2024 here we are. a Fucked woked society full of retarded rotted brain woke individuals defending puberty blokers and DEI sh*T.
This man, Ben Shapiro knew, we whould reach to that point and we did.",1.0
@Andrew-qx9nu,Jenner man should be chucked in prison forever for threatening like that.,1.0
@watercolor0111,First Black man  to justify  slavery wirh his reactions,0.0
@MrJeremytaz,What a dick thing to say!!!,1.0
@JohnSmith-yw4bh,cant believe this is 9 years old. this shit has gone on way to far,0.0
@TimCleese,it's no secret that most transgenders are antisemitic,0.0
@richardterlisner5145,The thing threatened him.  Have her arrested.,1.0
@Louellastark,So male! Do what I say or Iâ€™ll hurt you? So ladylike. ðŸ™„ I will never use she or her for any bloke. I donâ€™t give a shit. Theyâ€™re not women,1.0
@aleksandarjokic2918,"this man dressed as a blonde woman threatens like a real man, he can pretend to be a woman but some things always pop out (with mens,  literally ajhahhahahah)",1.0
@elanna0007,"No woman on earth could threaten to send a man home in an ambulance. But this guy know's he's got the power to do it. BTW, mike drop on the obvious danger to women in women' sports.",1.0
@sukruesin6394,Trans birey bu dÄ±rzoya tek kelimeyle ÅŸunu demiÅŸ: Kapa Ã§eneni yoksa senin aÄŸzÄ±na s*Ã§rm demiÅŸ. Shapiro'nun sesi titremiÅŸ. :),1.0
@kevin4havis,That was a very ignorant decision to go violent.,0.0
@harshitachouhan7172,"This is so twisted! A guy getting angry at being called a guy and threatens to kill the speaker and other guys defend him by saying but you knew he would be triggered!!! 

Where did logic, sense, respect, and all qualities of any debate go??? By looking at all these crapheads I seriously question evolution - i think we are devolving to sub human levels.",1.0
@kellyarango4348,Lmao I women would never say that ðŸ˜‚,0.0
@susanraab730,"And that my friends is male behavior, the way that HE threatened Ben. A REAL woman wouldn't have behaved like that.",1.0
@jhs55,"How can you support a man to be called a woman, you are a disgrace to The Lord Jesus Christ God The Father, I pitty your soul, how could you argue with the truth.",1.0
@DaveTheeMan-wj2nk,"OF course, so just because he's being ""rude"" now he must be threatened with violence and bodily harm. 
how very man of you.",0.0
@lewstherintelamon1377,"I'm torn.  I despise Bruce Jenner, but i also despise Ben Shapiro.",0.0
@DevLea94,Ben Shapiro is a smug weird little creep and he probably watches trans porn in private lolðŸ˜‚,1.0
