new_comments,classification
truth potential solution gender debate gender debate pretty pointless really vocabulary gender first use originally refer grammatical category like language noun male female neuter eg russian table male car female window neuter be not gender start use human never mean describe biological sex refer role behavior identitie separate biology new concept though even ancient culture gender gender role time people start confuse gender sex thinking they re thing they re confusion come namespace collision use term like male female cause people argue trans woman really man that s miss pointgender person feel look identify sex biological say trans woman be not real biological sex mix definition sex gender term exist separately start whether transgend mental illness irrelevant propose namespace separate gender pronoun separate sex pronoun since biological namespace use word male female first get keep term gender namespace need word one way suffice potential suffice use ish like esque oid lean align present example maleish femalelike maleesque femaleoid maleleaning femalealigne malepresente perhaps even brand new suffix purposebuilt gender,1.0
man guy one man army right,0.0
red blood cell chromosome also like people xx chromosome get pregnant someone xy pregnant person cell chromosome go unexpressed ben shapiro do not understand genetic biological sex poli sci law degree neither biology,0.0
ben shapiro nut,1.0
shapiro speak real life comment,0.0
lmao you all worried want slick deal swiftly slickly stutter act fluster start bs disagree still remain disrespectful immediately actually_xd__xf _ proceed rude shit you all know wtf getting get ball dish well able lick tf,1.0
este es el problema de los maricones que quieren que todos seamos mariconera se mariconera pero deja los dems en paz cada cual que haga con su culo un tambor interaction shock absorber reduce physical discomfort ride allow ride comfortably city _ x _ foldable convenient design deepower electric bike design se lo de tocar al que quiera,0.0
bring sean strickland see go ambulance,1.0
look like go delusional herd,1.0
go transgender brave thing come one brave shame less different,1.0
oh male energy exhibit sir,0.0
protect tran right,0.0
typical wake uneducated delusional behaviour yet surprise surprise threaten violence face truth,1.0
ben say insult fact,0.0
see male testerone come argument woman tell man go home ambulance absurd would never strong challenge male,1.0
ben shapiro big fan_xd _,0.0
shapiro aura,0.0
beni boi get excited,0.0
debate lose slander become tool loser_xd _ actually threaten ben shapiro camera one person courage call disgusting,1.0
transgender brave thing do_xd _ try tell soldier past present future we eternally grateful sacrifice vehemently disagree atrocious statement,1.0
love ben shapiro lmao,0.0
remember have not lose mind pandemic,0.0
spit truth delusional yeah right,1.0
malely inappropriate would say,1.0
trans youtuber try make look good ben shapiro threaten honestly ben disrespectful do not deserve threaten like,1.0
soldier pretty brave give birth without epidural that s brave child stand another child that s bully that s brave putting dress make brave hyper sexualizing something fuck bedroom,1.0
train want call ill call abiding want hear favor coward,1.0
testosterone never leave,1.0
somebody tell truth rude stupid tran,1.0
like ben would enjoyed see play guarantee ben would humiliate,1.0
incredible nobody call dude dress put hand threaten another guest shapiro sue,1.0
internet make people comfortable talk shit get punch face,1.0
look man face man hand end near,1.0
male like live twilight zone people come,0.0
ben,0.0
poor ben gang,1.0
funny,0.0
get angry man come lol,1.0
go home ambulance imagine kind attitude person join womans sport pageant,0.0
gurl mz thang,1.0
fact do not care feelings_xd _ ben shapiro man legend,0.0
hitler big hate monger history people like shapiro want bring back doctrine hate like except move,1.0
say grown man husband father grandfathering brave strong instead wear dress lol,1.0
ben shapiro vs woman man crazy,1.0
guy threaten ben shapiro rude ashame,1.0
mrs doubtfire back day,0.0
ben shapiro person brain day room,0.0
ben shapiro person brain day room,0.0
get scamme dude voice start think narrator smth,0.0
say chromosome genetic matter entire argument go windownow neck deep bullshit_xf__xd__xf _,1.0
bruce man pos sit next ben man also,1.0
sad world admit shapiro one brain room opinion base pronoun matter crazy insane,1.0
oh see rude ok ben threaten physical violence man threaten woman like would uproar,1.0
woman say carry go home body bag man twice anotomical build say man people,1.0
bruce man man pretend woman man,0.0
fair fair fair fair fair fair get right threaten someone get feeling hurt,1.0
absolutely disgusting,1.0
one man army n destroy stupid illusion people,1.0
people understand regardless whether sex change still man still look like man come people stop stop sit panel call christian know god say abomination know god make man woman know go god,0.0
threaten violence like ladylike,1.0
bring saudi arabia,0.0
always hate bring people bear genetic disease case go surgery medicine feel like normal person tran people coopt rare condition use argument thi dilusion,1.0
women year time award prabably huge dissapointment woman achieve something great year feel really bad athlete certain sport boxing basically chance freak break record leave amd right weenie never pick ball thi life one make call,1.0
chromosome necessarily mean male female hell mean,1.0
always disgusting witness fail pretension put superior intellect corner perhaps transclown acolyte already take ride ambulance due selfinduced threat neurological nature ben shapiro waste time people spend time redefine else butt good,1.0
make threat get away,0.0
dr draw drop ball one would talk today would brave enough admit wrong,0.0
way woman would react matter do body know genetic respond accordingly,1.0
sick lord savior nothing brave,1.0
give honor sin pure evil courageous sinful perverted sexually immoral instead celebrate sin ashamed bible say glory shame sad hope repent,1.0
guy dress open threaten violence dipwad say fair misgendere him_xd _ violence never ever appropriate scenario like,1.0
room full delusional adult lol guy honest jew heck go stand trans openly post threat another person state opinion know america goner idiot run rampant lol,1.0
ambulance would take hospital home,1.0
zoe disgusting excuse human,1.0
ben shapiro become top g,1.0
love truth,0.0
disgust filthy man lady need prison,1.0
man dress ridiculous,1.0
nonsense either man woman guy like hear truth,1.0
anger toward shapiro clearly reveal he s straight man pretend woman I m sorry lesbian tomboy simply learn love beautiful female body accept sex realize I m well someone else change something ultimately make lose regret become extremely depressed self love baby,1.0
still show much man actually mr jenner prostate enough say,1.0
hahhahaha bruce get mad,0.0
freak,1.0
biological man male like boldness guy man right,0.0
threaten violence put hand neck masculine,1.0
male thing threaten someone go home ambulance ben would stand chance stop male hormone,1.0
man put huge ass bigfoot hand ben someone get tranquilizer dart gun zoo,1.0
actually ambulance never really take home emergency,0.0
linebacker jawline really help define overall feminine look,1.0
soooooootough turn hisself chicky,1.0
freaks act get way,1.0
brave lol people freak dillusional,1.0
heshe get upset discussion freak mental issue man insist dress like woman people make fun buy bullshit problem debator,1.0
call biological man man insulting_xd _ lord mercy idiot shapiro good join delusion,1.0
bruce still dick bruce still male bruce use maleness threaten another person want plead woman feel threaten bunch shit,1.0
one people stage support trans lie make themselfs look good agree man man like woman woman xx xy would tell delusional caitlynjenner want ass whip real man meet outside gen x talk act threat like,1.0
mam,0.0
person go jail asalit,1.0
america foreigner die nation lunacy,1.0
regardless view fact somebody allow act like tv shocking,0.0
black dude drug,1.0
i d pay top dollar see ben get ass whop man dress,1.0
man thing charge assault ben,1.0
person want call lawyert impersonation fraud,1.0
michael bolton,0.0
well threaten people sometimes go way think fortunately person try right one,1.0
cut go home ambulance shapiro clap medicare advantage hahaha,1.0
little boy sweat,0.0
ben would say pack sir put hand go box,1.0
ben goat you re man always man delusion fine,1.0
dick be not chick,1.0
care guy woman idiot need put place,1.0
zoey show maleness physical threat,1.0
zoey uneducate one say ambulance would take ben home do not go hospital,1.0
amazed shapiro tolerate weirdo touch shoulder back neck would tell perv get disgusting balltickler immediately,1.0
that s sad get grow man will not stand see man try act like woman fact dna make man,1.0
need courage freak,1.0
there s miss bloke zoey surname,0.0
right trans guy can not take threaten extreme violence,1.0
man threaten ben go home ambulance hear correct mr zoey brave thing world know accept man look like one one can not demand go eye see,0.0
mockery,1.0
genetic ben shapiro,1.0
sick man aggressive hero call man great sport man rubbish,1.0
erm actually identify doctor,0.0
ok call someone sir ok physically squeeze someone neck threaten great harm need ambulance sick twist individual ben right whole time people delusional,1.0
pig,1.0
well ladylike,1.0
ben panel would stand walk return leftbut thing itand say well deserve hah,1.0
polite pronoun wild,0.0
caitlyn jenner hero,1.0
find full interview,0.0
zoey prove male threaten send ben home ambulance man say shit,1.0
even invite ben know belief get upset express belief lol suppose safe space safe space code pro lgbtq space,0.0
like ben find radical aggressive thinking come across someone want help delusional people like matt walsh ben sound like enjoy torture humiliating think always right time right full arrogant offense voice annoy,1.0
threaten attack ben shapiro call guy side say basicly yea rude make threat violance jusitfie xd,1.0
bottom line man hate wake culture lie,1.0
brave brave tell freaking truth stop lie,1.0
agree ben,0.0
zoey violent person hormone surgery well,1.0
imagine second ben put hand caitlin shoulder oh lordy probably would charge,1.0
act like duck look like duck walk like duck duck do not matter much lipstick put man interaction confirm,1.0
man suddenly soo quick defend_xd _ woman come trans people,1.0
dude womam,1.0
trans really still look like man dress say ben going send ambulance male say could see action thank ben act cool,1.0
manin dress,1.0
lady like end,1.0
guy mental health issue threaten shapiro infront everybody one anything wow,1.0
dude outta line ben,1.0
makeup could conceal toxic masculinity,1.0
look like woody harrelson anger management,0.0
shapiros mind go home ambulance,0.0
testosterone laden woman_xd _ display attribute male possess toxic masculinity prove he s female get itand I m one crazy hater,1.0
ridiculous threaten someone like get away,1.0
jew right pedo call,1.0
dig kaitlynbruce jenner bone year dna test dna leave actually test dna test would say bone adult human male archeologist dig might think undertaker play joke family bury man grave mark womans name future know would think give fact man woman grave,1.0
love place ben next proceed gaf lol,0.0
mental illness run rampant society,1.0
shapiro win brutality fataly trans man act like one jajajajjajjajjaja rich world,1.0
state fact liberal belief lose mind,1.0
oddly enough small guy room one big ball,0.0
damn shapiro person spine comply politically correct narrative respect,0.0
courage everyone praise,0.0
can not smart threaten lmao,0.0
fuck woke society full retarded rot brain wake individual defend puberty bloker dei sht man ben shapiro know whould reach point,1.0
jenner man chuck prison forever threaten like,1.0
first black man justify slavery wirh reaction,1.0
dick thing say,1.0
can not believe year old shit go way far,0.0
secret transgender antisemitic,1.0
thing threaten arrest,1.0
male say ill hurt ladylike never use bloke do not give shit they re woman,1.0
man dress blonde woman threaten like real man pretend woman thing always pop men literally ajhahhahahah,1.0
woman earth could threaten send man home ambulance guy know get power way mike drop obvious danger woman woman sport,1.0
trans birey bu drzoya tek kelimeyle unu demi kapa eneni yoksa senin azna srm demi shapironun sesi titremi,1.0
ignorant decision go violent,0.0
twist guy get angry call guy threaten kill speaker guy defend say know would trigger logic sense respect quality debate go looking craphead seriously question evolution think devolve sub human level,1.0
lmao woman would never say,0.0
friend male behavior way threaten ben real woman would behaved like,1.0
support man call woman disgrace lord jesus christ god father pitty soul could argue truth,1.0
course rude must threaten violence bodily harm man,0.0
tear despise bruce jenner also despise ben shapiro,1.0
ben shapiro smug weird little creep probably watch tran porn private lol,1.0
clown pretend female hilarious,1.0
would ve well tell ben you ll get free ride mortuary_xd _,1.0
ben one,0.0
come tran brave thing probably fair soldier disagree reckon,1.0
dude still look like dude person threaten shapiro dudeness come threat sir lady never act like dude,1.0
call anyone pronoun name call call name offend call pronoun offend,1.0
since ambulance take people home wrong blonde bimbo guy,1.0
cut go home ambulance moment know penis,1.0
exactly lady go act like,1.0
come transgender incredibly difficult come many people manage,0.0
inner man rage come lmao,1.0
ben shapiro goat,0.0
joke back joke still,0.0
fact everyone room happy condone physical contact threat violence beyond,1.0
example tolerant people suffer delusion,1.0
ben shapiro,0.0
make shirt that s seam mildly inappropriate political discussion_xd _,0.0
threat manthreat thank prove point sir,1.0
shapiro bigot he s class dirtbag,1.0
ladylike omg man comes need,1.0
ambulance never bring home,0.0
funny travesty behave like man threaten shapiro hurt total man bully jajja,1.0
hey think testosterone showing_xd _,1.0
would say highly doubt sir_xd _,0.0
girl boy boy girl mix muddle shake world except lola,0.0
accept one guy sellout scared opinion,0.0
sweetestsounde threat ever hear,1.0
well actually go hospital ambulance go home threaten someone violence man thing say,1.0
lose respect dr draw put hand somebody else intimidate care think,0.0
bunch coward,1.0
curious guy since silence lamb,0.0
kathleen support trump respect whatever want call,0.0
state truth egregiously insult,1.0
chromosome define gender sorry comman knowladge,0.0
soft ass generation,1.0
dios destruy sodoma gomorra,0.0
shapiro male,0.0
award brave person room go ben shapiro,0.0
ben shapiro respect,0.0
stick oj documentary,0.0
xx female xy male identify delusional,1.0
anybody tell ben shapiro bring holocaust,0.0
lol fair bloke allow threaten hurt feeling,1.0
ben person room speak fact truth other zero backbone,0.0
fact do not care feeling,0.0
hitler forgot shapiro unfortunately,1.0
zoey dude get shit together man,1.0
hear jack ass say train lol shut f,1.0
would say dare sweetheart ill treat like man are_xd _ ring bell,1.0
you ll go home ambulance be not hospital _ xf _,1.0
careful mam sir come,1.0
man piss,1.0
transgender surgically alter become someone else,1.0
lady like,1.0
fact do not care feeling get recke libtard,1.0
say zoe_xd _ floor,0.0
honest man amid sheep,0.0
let we speak truth sick absurd,1.0
resort violence typical male behavior,1.0
you all call abomination fucking dress,1.0
deserve,1.0
somehow guy get away physically threaten ben also notice guy repeatedly touch ben shoulder hand around back ben neck wtf,0.0
sick fuk video,1.0
count panel two need prostate exam,1.0
be not caitlyn bruce,1.0
testorone guy bruce hahhaha dumb,1.0
fact person put hand another person threaten send home ambulance beyond inappropriate,0.0
zoey become man second threaten shapiro,1.0
yeah use pronoun go home ambulance show lose argument matter wear can not control alpha male two gender male female two,1.0
ben you re one talk sense,0.0
communist violent people gender delusion violent communist struggle session people belong civil society can not live,1.0
tell man ia man truth insult,0.0
bully still bloke,1.0
care,0.0
ben shapiro probably bully high school revel wealth power ability punch high school matter heterosexual fact bully purpose might even well bully call f word homosexual epithet lack muscle short imagine bully also see transwoman must trigger exactly masculine look man prescription ben shapiro accept people different get testosterone replacement therapy take powerlifte gym,1.0
boy dress,1.0
gender,0.0
see bunchs manipulator thank god generation take bs,1.0
stupid ben,1.0
lady like,1.0
can not accept pronoun it_xd _,0.0
bro jew expect,1.0
call sir call sir male dumbass lmao,1.0
bahaha man shapiro,0.0
ladylike shim,1.0
shapiro transgender person one video bad video history,0.0
brave tell hero die country transgender ever brave,1.0
naciste hombre de genero ere hombre naciste mujer de genero ere mujer quieres ser un repubonicaredo como quieras llamarte en el futuro consideralo asi moleste para mi son hombre mujer punto,1.0
fact do not care feelings_xd _ say guy wear funny little hat invisible friend tell,1.0
woman manpower love ben,1.0
dude ball play dress women clothing,1.0
ben ambulance call cab instead thank,0.0
two ginger male femaleall bthe dumb f,1.0
one go ambulance already go ambulance surgery sr,0.0
plot twist caitlin ambulance driver want seduce ben,0.0
uhh leave pc one member afraid say really think trap candy land,0.0
aggression primarily male trait,1.0
award dildoe,1.0
mean he s wrong he s dickhead he s wrong,1.0
transgender people literally crazyyyyyyyy,1.0
mainstreame delusion_xd _ bar,1.0
ben shapiro say really something woman would say_xd _,0.0
ben awesome spot other leave physical threat,0.0
mr shapiro one whose delusional everyone else need live water shark dolphin,0.0
moment trans clown act like male lol,1.0
man argue like abusive man go figure,1.0
shapiro really get mogge lil benji,0.0
ja rule think,0.0
violently aggressive jester proved fact man something man would bar team lose,1.0
way grab neck threaten show still man biological woman would never dare,1.0
I m bit late bet none people include black guy specially black guy would let daughter share female change room female toilet,1.0
good put little keebler elf look zionazi place someone reach rightwinger respect,1.0
lady like man would response,1.0
want act like man trigger truth,1.0
god i m glad move past yes_xd _ phase bullshit history seriously absolutely ridiculous zoe man look like uncle robert wig,1.0
look like one tell truth ben,0.0
look fuke freakyes sirzoe,1.0
ben right,0.0
shame,1.0
world come sit around discuss utter rubbish,1.0
ben shapiro need someone put belong garbage _ xf _,1.0
hahahahahahahahahahahahahahaa,0.0
ft zoey lucky be not audience,1.0
freak,1.0
twice three time bloke,1.0
dem man shit crazy,1.0
slay,0.0
prove man grab neck threaten,1.0
well say mr shapiro _ xd _,0.0
even year still get male chromosome end story transvesite problem,1.0
funny stop pretend woman want threaten someone,1.0
chick z get chin like bad guy get jaw break tango cash,1.0
happen trans_xd _ puberty testosterone,1.0
good ben,0.0
big tough tran man man non less panel make fool want fool along one thinking person whole lot,1.0
default reset activate,0.0
omg trans som ball,1.0
would call b oppose sir well think call sir respectful saying go home ambulance,1.0
come man zoey,0.0
response shim would got ball friend,1.0
she_xd _ sound like threaten man right talk you ll go home ambulance,1.0
zoey man play dress,1.0
chromosom ar like diffrent ko ind least five type dna,0.0
black dude clown,1.0
could wad throw across room,1.0
I m transman catch soooo offguard would anyone say make tran people look bad apologize person behavior,0.0
iconic afffffffff,0.0
woman big ball mango,1.0
ben shapiro firm chromosome chromosome hilarious bet never hear intersex,1.0
look view trans republican speak man woman sport maybe cut slack need help get,0.0
shanon man maybe consider transition,1.0
madam penis,1.0
well ben big guy,0.0
person male care identify genetically man delusional need help live life want force other identify woman man period,1.0
good,0.0
draft bill pass man yrs old people identify male birth enter draft government speak gender regardless feeling bear penis enter draft service regardless pronoun bear penis serve call end discussion,1.0
ben base rest coward,1.0
ben shapiro verbally assault tran person call angry response inappropriate classic narcissistic abuse,1.0
bruce put hand threaten like outcome would good,1.0
cut go home n ambulance ben man right,1.0
man want woman need weiner cut,1.0
wake simp pathetic time remember much hate ben come back video,1.0
ben shapiro know even though fact care feeling fist,1.0
queen shit,1.0
dsmnot educate genetic xx xy dipshit,1.0
white people like,1.0
say courageous,1.0
reason get away threaten repeatedly insult someone intentionally know exactly you re be not appropriate debate should not handle like she s vulture living he s scumbag _ xf__xd__xf _ really great friend suck also feel free yell comment I m go answer do not time bicker people hate other base make construct,1.0
feel inside irrelevant question biological sex well say technically change gender can not really go law nature bear like skyrim get create character start life ginger orange hair change hair colour dye want hair always grow back natural colour respectable person hurt anyone feeling judge person today world put shit face pride monthwtf need month straight month even trans flaga flag definition google symbol emblem country institution get acknowledgement gay lesbian trans long ago illegal frown upon open today great love go overboard get ridiculous,1.0
dude need stuff locker,1.0
always classic come back,0.0
bro wear tiny hat talk fact care feel lmao,1.0
come pip squeak beanie,1.0
be not ladylike,1.0
ben shapiro closet homosexual want get find picture year ago internet bed transgender woman,1.0
nobody care feel fact fact even feel rude,0.0
pfft one threaten ben shapiro sudden get ball,1.0
lol try understand math teacher,0.0
brave woman man pretend woman,1.0
respect pronoun incredibly easy intentionally disrespect someone trying cause harm,0.0
man frock sad dreadful,1.0
people lose mind man always man even get cut,1.0
man jenner go jail hit someone car,1.0
ben shapiro argument especially moment ask dudedressedlikeawoman genetic sir_xd _ hahahahahaha love ben shapiro,0.0
look I m train equal want keep job show lefty change tomorrow laugh along speak fact science,0.0
zoe get jockstrap twist lol,1.0
think one lose lot respect threaten ben think know sore spot mouth claim word tell another story,0.0
dude end completely backward zoey egregiously insult would sit allow zoey gaslight nonsense either,1.0
black guy want save career go back homie like weird fy morning_xd _,1.0
guy tit te,1.0
black guy embarrassment,1.0
funniest clip I ve see swear,0.0
do not dude dress threaten send ben shapiro away ambulance one even remark,0.0
ben weenie,1.0
cut know go ambulance home thad line helerius watch say boy,1.0
watch zoey disturb threatening man woman hope never see woman space,1.0
ben shapiro weasel he s still sane person room,1.0
entire squad cowardly gang small man threaten large man speak nothing truth,1.0
fuck around find,1.0
queen,0.0
god shapiro fraud immediately lose bravado grab,1.0
ben shapiro suck dude purposefully obtuse draw kind reaction could say that s inappropriate political discussion_xd _,1.0
surprise call nazi,1.0
fact feeling unless mine ben shapiro,0.0
grandparent storm normandy beach get roll grave listen us bicker nonsense,1.0
hahaha I ve shoot stabbed_xd_by dude find man little late,1.0
physically threaten man frock must odd mixture entertain frightening,1.0
I ve shoot stabbedbee transgender brave thing do_xd _ ffs lol thing need help,1.0
i d love watch turn soup,1.0
crazy transgender clown,1.0
oncology nurse man come treatment room testicle cancer identify female,1.0
still wonder adrenochrome ben get run age body mind incredible,0.0
good job stand woman mean weak man mean hiding emotion let woman defend man cry,0.0
lucky ben shapiro mma fighter big fighter hell would turn promoun waswere real quick,1.0
would fight fuck man lady,1.0
smh black dudewe claim,1.0
put oreo show,1.0
look comment section full ignorance,0.0
great moment tv history,0.0
facebookguess real woman,1.0
zoey idiot lol,1.0
pathetic,1.0
cucke fruit embarrassment black man get dude show_xf__xd__xf _,1.0
never think would see day call male sir would interpret egregiously insult strange time live,1.0
west do,1.0
listen sit blatantly disrespectful someone face perfectly fine moment person disrespect enough problem lmaoooo get way play victim,1.0
get love see lil bennie squirm,1.0
zoey base justified say amount horrible shit say regularly would expect people spontaneously punch upon see public,1.0
fuss oh excuse misunderstand talk gender identity consider personnal care identify whatever want use word man woman biological meaning use pronoun name refer instead gender identity clear resume conversation sir,0.0
wonder male put take away body body anything order look like female wonder go gynecologist checkup specialist go,1.0
crazy comment think spine mean deliberately try provoke reaction someone audience already bias,0.0
yeah you re woman that s use male physical strength testosterone energy scare another man get outta woman crazy man,1.0
polite honestly even say he s call whatever fuck want call call hypocrisy plain stupidity would not say question one opinion inherently evil rude can not really say anymore take quite literally collectively people iq rd grader see scared black dude basically say would not touch conversation foot pole literally do not like bruce hell real problem ill play delusion man do not like you_xd _ absolutely wild,1.0
trans woman use genetic justify woman_xd _ xy chromosome make biological man,1.0
pathetic presenter ball male male female female,1.0
moment get confuse two hate course shapiro,1.0
judgment god long await commonly reject absolutely certain terribly severe,0.0
whole panel wake coward stroke other delusion,1.0
mainstreame delusion deeply religious wear yarmulke,1.0
man ladylike,1.0
jenner woman keep penis testikle,1.0
true delusion fine shoutout ben,1.0
zoey tur weird ass last nameby way language tur mean poison,1.0
well be not lady like,1.0
even today sad still put circus freak,1.0
prabhup_x_da bodily structure change perhaps know medical science change womans body man body man body woman body formerly also change bh_x_gavata find gardeni forget namein garden lord iva engage um_x _ husband wife sudden many saintly person enter see lord iva time um_x _ p_x_rvat become much ashamed properly dress immediately saintly person leave lord iva private affairs lord iva please p_x_rvat immediately say hence forward anyone enter forest become woman one king forget name party without knowledge enter forest become woman idea mans body transform womans body woman body transform man body body dress suppose get dress mans dress transform woman dress sari mean woman every one us living entity part parcel supreme lord outward dress man woman dress v_x_s_x__x_si jr_x_ni yath_x _ vih_x_ya bg change dress,0.0
sadly world evil ignorance strong righteousness reason,0.0
go home ambulence really ok say transgender brave thing respect every person transgender person nice good logical yet say brave thing,0.0
touch one time kick ball would adequate answer,1.0
be not lady like,1.0
get dick chick,1.0
ambulance threat hilarious,0.0
dumbahh,1.0
ladylike sir,1.0
zoey get riled threaten ben still hilarious,0.0
man period,0.0
mother man baby,1.0
lol dr draw compose _ xd _,0.0
act like man would pushed masculinity ben prove man,0.0
ladylike,1.0
kick jenner ball watch female really feel,1.0
cut go home ambulance lady like still would take look tough,1.0
go hospital ambulance go home uber,0.0
zoe bloke view concern bruce validate position proxy,0.0
see bro purple dress,0.0
anyone link full ep can not find,0.0
full debat,0.0
ben know say way would egregiously insult zoe_xd _ hell get people,1.0
klinfelter syndrome turner syndrome etc genetic disorder relate problem lol old dude wear skirt lipstick need read book genetic disorder,1.0
oh ben rude least threaten physical violence like child,0.0
ben win,0.0
absolute w,0.0
cares shapiro christine jorgenson come world come end,1.0
already scietifically research prove transgender people develop brain certain gender uterus despite chromosome opposite sex brain core literally transgender say find theat zoey absolutely disgusting pathetic keep composure situation like fucking bar,1.0
ben wdv say put hand assault keep hand,1.0
fan benny put hand someone make threat crime,0.0
laugh say,0.0
dude need quit threaten people,0.0
rude ok threaten bodily harm people bad debate resort namecalling threat,1.0
mean ben point boot licker there s gender male female get birth get can not change female like guy like female call female male give birth like female till male female,1.0
caitlin jenner act bad bad get deck campaign body guard scared stop would jump flung fist fast hard brutally hesheit would change tune faaaaaaaast,1.0
ben goat,0.0
bob zur confirm ben point threat,0.0
right ungly,1.0
kaitlyn ball threaten ben way,1.0
ben shapiro really loves own public,1.0
jenna start crap along medium year come lot answer,1.0
interesting excuse threat violence cosplaye woman normal man would escort build security rightfully,0.0
trans ben suppose secretly invert one,1.0
look size woman hand damn son,1.0
never hear woman say honestly woman really accept person woman put threat like know gay people wants call swear can not see male everyone would consider woman act like woman still say man feel comfortable call love spread love respect woman feel womanhood love motherhood behaviour violent tendency sweet timid reaction cute smile talk stuff love obviously opinion really fan people shove face gay transgender make vision personality woman sweet cute anything cute tell someone shut get beat,1.0
hope drag queen would kick ass,1.0
do not go home ambulance,0.0
bruce jenner look like demented sexual pervert mother dress,1.0
man threaten nobody care,0.0
lmfao remind quagmire dad,0.0
ben shapiro fact do not care feeling israel ethnically clean ben waaaaah,0.0
caitlin show real macho do not ill bite,1.0
know ben shapiro feel criticism israel could show hypocrisy,0.0
extreme lack brain cell within panel wow,1.0
think pick ben body slamming trigger absolutely hysterical would make show ten time well,0.0
funny get mad violent threat come almost like lipstick change anything still man violent tendency dress,1.0
ben right,0.0
bruce say regret try woman,0.0
weird,0.0
people like lie fcking dude use dress pretend,1.0
agree educate,0.0
physician scientist mdphd would like make clear employ word gender_xd _ natural science social concept although may learn xx woman xy male biology like math foundational many concept simplify primary secondary educational setting scientific community robust debate terminology arrive consensus base current body knowledge xx xy concept biological development consider incorrect scientific literature science first distinguish people capable develop primary puberty secondary puberty sexual characteristic four genotype give rise female primary sexual characteristic xx xo xxx xy rare case two genotype however give rise primary secondary characteristic fertility xx xxx interesting note fetus develop primary female characteristic unless presence one gene chromosome present functional scientific community first define female anyone without functional sry gene male viable fetus function sry whose genotype may xy xxy oy viable point complicated issue treat much differently natural science please refrain invoke biology science anything relate tran debate purely social issue scientific one,0.0
let we ignore chrome minutehuh,0.0
world end dingly dangly bit male moneybox female discussion,1.0
pathetic little ben get deserve uneducated ignorant bigoted racist go screw around find little ben pathetic excuse man,1.0
